name,ra_deg,dec_deg,type,mag,notes
Cr 399 (Coathanger),294.3,20,Asterism,3.6,"Binocular asterism in Vulpecula, resembles a coat hanger."
M73,314.725,-12.633333,Asterism,9,"Constellation: Aquarius. Distance: approx. 2,500 light-years. NGC 6994."
Kemble's Cascade,60,63,Asterism,,Popular name: Kemble's Cascade. Constellation: Camelopardalis. Fact: Asterism of ~20 stars flowing toward cluster NGC 1502. Line of stars in Camelopardalis; binocular field.
M83,204.25375,-29.865833,Barred spiral galaxy,7.6,Popular name: Southern Pinwheel. Constellation: Hydra. Distance: approx. 15 million light-years. Fact: Southern Pinwheel; face-on barred spiral. Southern Pinwheel Galaxy NGC 5236.
M65,169.732917,13.092222,Barred spiral galaxy,9.3,Constellation: Leo. Distance: approx. 35 million light-years. Fact: Member of Leo Triplet with M66 and NGC 3628. Leo Triplet NGC 3623.
M58,189.43125,11.818056,Barred spiral galaxy,9.7,Constellation: Virgo. Distance: approx. 62 million light-years. NGC 4579.
M95,160.990417,11.703889,Barred spiral galaxy,9.7,Constellation: Leo. Distance: approx. 33 million light-years. NGC 3351.
M109,179.4,53.374444,Barred spiral galaxy,9.8,Popular name: Vacuum Cleaner Galaxy. Constellation: Ursa Major. Distance: approx. 83 million light-years. Fact: Barred spiral with faint outer arms. Vacuum Cleaner Galaxy NGC 3992.
M108,167.879167,55.674167,Barred spiral galaxy,10,Popular name: Surfboard Galaxy. Constellation: Ursa Major. Distance: approx. 45 million light-years. Fact: Edge-on with mottled dust; near M97. Surfboard Galaxy NGC 3556.
M91,188.86,14.496389,Barred spiral galaxy,10.2,Constellation: Coma Berenices. Distance: approx. 63 million light-years. NGC 4548.
Pipe Nebula (B59+B77+B78),257.25,-27.5,Dark nebula,,"Constellation: Ophiuchus. Wide-field silhouette; best at 3 deg FOV; includes B59,B77,B78."
Snake Nebula (B72),258,-23.7,Dark nebula,,Constellation: Ophiuchus. Distinct S-shaped lane; wide-field.
M78,86.694583,0.013889,Diffuse nebula,8.3,"Constellation: Orion. Distance: approx. 1,350 light-years. NGC 2068."
Mizar and Alcor,200.981,54.925,Double star,2.2,Constellation: Ursa Major. Naked-eye double in Ursa Major; binocular showpiece.
Albireo,292.68,27.959,Double star,3.1,Constellation: Cygnus. Colorful blue/yellow double.
M32,10.674167,40.865278,Elliptical galaxy,8.1,"Constellation: Andromeda. Distance: approx. 2,650,000 light-years. Andromeda Satellite #1 NGC 221."
M49,187.444583,8.000556,Elliptical galaxy,8.4,Constellation: Virgo. Distance: approx. 56 million light-years. NGC 4472.
M110,10.092083,41.685278,Elliptical galaxy,8.5,"Constellation: Andromeda. Distance: approx. 2,700,000 light-years. Andromeda Satellite #2 NGC 205."
M87,187.705833,12.391111,Elliptical galaxy,8.6,Popular name: Virgo A. Constellation: Virgo. Distance: approx. 53 million light-years. Fact: Giant elliptical with relativistic jet; EHT black hole. Virgo A NGC 4486.
M60,190.915,11.5525,Elliptical galaxy,8.8,Constellation: Virgo. Distance: approx. 55 million light-years. NGC 4649.
M105,161.956667,12.581667,Elliptical galaxy,9.3,Constellation: Leo. Distance: approx. 32 million light-years. NGC 3379.
M59,190.509583,11.646944,Elliptical galaxy,9.6,Constellation: Virgo. Distance: approx. 60 million light-years. NGC 4621.
M89,188.915833,12.556389,Elliptical galaxy,9.8,Constellation: Virgo. Distance: approx. 50 million light-years. NGC 4552.
NGC 7000,314.8208,44.5289,Emission nebula,4,"Popular name: North America Nebula. Constellation: Cygnus. Distance: approx. 2,600 light-years. Fact: North America Nebula; enormous emission region visible in wide field. North America Nebula (widefield)."
IC 1396 (Elephant's Trunk),323.866,57.4861,Emission nebula,5,"Popular name: Elephant's Trunk. Constellation: Cepheus. Distance: approx. 2,400 light-years. Fact: Large ionized region with dark globules; embedded young stars. Large emission nebula in Cepheus with dark lanes."
M17 (Swan/Omega Nebula),275.1083,-16.1767,Emission nebula,6,Shows swan/omega shape; OIII enhances contrast.
M8,270.75,-24.383,Emission nebula,6,"Popular name: Lagoon Nebula. Constellation: Sagittarius. Distance: approx. 4,100 light-years. Fact: H II region with dark lane; includes cluster NGC 6530. Bright H II region with embedded cluster; UHC/OIII helpful."
M16,274.5,-13.783,Emission nebula,6.4,"Popular name: Eagle Nebula. Constellation: Serpens. Distance: approx. 7,000 light-years. Fact: ""Pillars of Creation‚"" star-forming columns (HST). Open cluster + nebulosity; ""Pillars"" need dark skies."
NGC 281,13.2471,56.6219,Emission nebula,7.4,Pacman Nebula.
IC 5070,312.7,44.35,Emission nebula,7.5,"Popular name: Pelican Nebula. Constellation: Cygnus. Distance: approx. 2,000 light-years. Fact: Pelican Nebula; complex emission arcs adjacent to North America Nebula. Pelican Nebula (widefield)."
NGC 2070 (Tarantula Nebula),84.5,-69.1,Emission nebula,8,In LMC; huge H II region; best from southern sites.
NGC 7635,351,61.2,Emission nebula,8.4,Bubble Nebula.
M20 (Trifid Nebula),270.595833,-23.03,Emission nebula,6.3,Distinct dark lanes; use moderate magnification.
Large Magellanic Cloud,80.75,-69.75,Galaxy,0.9,Dwarf galaxy; multiple embedded clusters/nebulae.
Small Magellanic Cloud,13,-72.817,Galaxy,2.7,Dwarf galaxy; look for 47 Tuc nearby.
NGC 253,11.888,-25.288,Galaxy,7.1,Sculptor Galaxy.
IC 342,56.702,68.102,Galaxy,8.4,Constellation: Camelopardalis. Distance: approx. 11 million light-years. Fact: Face-on spiral obscured by Milky Way dust; part of Maffei/IC 342 group. Hidden Galaxy.
NGC 2403,114.214,65.601,Galaxy,8.9,Camelopardalis.
NGC 7331,339.267,34.415,Galaxy,9.4,Constellation: Pegasus. Distance: approx. 40 million light-years. Fact: Bright spiral with background “Deer Lick” galaxy group. Deer Lick.
NGC 3628,170.067,13.588,Galaxy,9.5,Popular name: Hamburger Galaxy. Constellation: Leo. Distance: approx. 35 million light-years. Fact: Hamburger Galaxy; edge-on with broad dust lane and tidal tail in deep images. Hamburger (Leo Triplet).
NGC 6946,308.717,60.153,Galaxy,9.6,Fireworks Galaxy.
NGC 2683,133.904,33.422,Galaxy,9.7,UFO Galaxy.
NGC 4631,190.533,32.541,Galaxy,9.8,Whale Galaxy.
NGC 4216,183.989,13.155,Galaxy,10,Virgo Cluster.
NGC 4565,189.086,25.987,Galaxy,10.4,Needle Galaxy.
NGC 7814,0.877,16.146,Galaxy,10.6,Little Sombrero.
NGC 925,36.822,33.579,Galaxy,10.7,Triangulum region.
NGC 891,35.638,42.349,Galaxy,10.8,"Edge-on, Andromeda."
NGC 2905,143.05,21.5,Galaxy,12,Knot in NGC 2903 arm.
Abell 1656 (Coma Cluster),194.9529,27.9806,Galaxy cluster,,"Constellation: Coma Berenices. Distance: approx. 321 million light-years. Fact: Rich galaxy cluster with thousands of members; strong X-ray emission. Coma galaxy cluster, hundreds of galaxies."
Fornax Cluster,54.5,-35,Galaxy cluster,,Constellation: Fornax. Distance: approx. 65 million light-years. Fact: Nearby cluster dominated by NGC 1399; includes dwarf galaxy population. Rich cluster of galaxies in Fornax.
Markarian's Chain,190,12.5,Galaxy group,9,Chain of galaxies in Virgo Cluster.
NGC 5139 (Omega Centauri),201.5,-47.483,Globular cluster,3.7,Crowded core; best with low power.
M22,279.099583,-23.90475,Globular cluster,5.1,"Constellation: Sagittarius. Distance: approx. 10,600 light-years. Fact: Large, bright bulge globular; resolves well in small telescopes. Great Sagittarius Cluster NGC 6656."
M4,245.896667,-26.52575,Globular cluster,5.6,Constellation: Scorpius. Spider Globular Cluster NGC 6121.
M5,229.638333,2.081028,Globular cluster,5.6,Constellation: Serpens. Rose Cluster NGC 5904.
M13,250.421667,36.459861,Globular cluster,5.8,"Popular name: Great Hercules Cluster. Constellation: Hercules. Distance: approx. 22,500 light-years. Fact: Premier northern globular; ""propeller"" dark lanes in large apertures. Great Hercules Cluster NGC 6205."
M15,322.492917,12.167,Globular cluster,6.2,Constellation: Pegasus. Great Pegasus Cluster NGC 7078.
M3,205.548333,28.377278,Globular cluster,6.2,Constellation: Canes Venatici. NGC 5272.
M55,294.99875,-30.96475,Globular cluster,6.3,"Constellation: Sagittarius. Distance: approx. 17,500 light-years. Specter Cluster NGC 6809."
M92,259.280833,43.135944,Globular cluster,6.4,"Constellation: Hercules. Distance: approx. 26,000 light-years. NGC 6341."
M2,323.3625,-0.82325,Globular cluster,6.5,Constellation: Aquarius. NGC 7089.
M62,255.3025,-30.112361,Globular cluster,6.5,Constellation: Ophiuchus. Flickering Globular NGC 6266.
M10,254.287083,-4.099472,Globular cluster,6.6,Constellation: Ophiuchus. NGC 6254.
M12,251.809167,-1.948528,Globular cluster,6.7,Constellation: Ophiuchus. NGC 6218.
M19,255.657083,-26.267944,Globular cluster,6.8,Constellation: Ophiuchus. NGC 6273.
M28,276.137083,-24.869833,Globular cluster,6.8,Constellation: Sagittarius. NGC 6626.
M30,325.092083,-23.179861,Globular cluster,7.2,Constellation: Capricornus. Jellyfish Cluster NGC 7099.
M80,244.26,-22.976083,Globular cluster,7.3,"Constellation: Scorpius. Distance: approx. 32,600 light-years. NGC 6093."
M14,264.400833,-3.245917,Globular cluster,7.6,Constellation: Ophiuchus. NGC 6402.
